868:93,S,92,79@0.98:376,867
867:93,S,92,79@0.98;79,S,'42',77@1:419,866
69:9,T,'09',9@0.5;9,S,'40','51'@1:40_cluster_Vancomycin|aa4140|3289-3469|5231|40_cluster_Vancomycin-1956-Item19-Cond-Item20-A_bht|tyr_Fill_0,51_cluster_WAC4169cluster051|66fb6a|3290-3470|6879|51_cluster_WAC4169cluster051-2638-Item14-Cond-Item13-A_bht_Fill_0
63:39,T,39,'03'@0.22;39,S,'18','26'@1:18_cluster_Chloroeremomycin-1|2871d2|3316-3497|2412|18_cluster_Chloroeremomycin-1-961-Item19-Cond-Item20-A_bht_Fill_0,26_cluster_KaridNRRLB16535chlor|2871d2|3316-3497|3472|26_cluster_KaridNRRLB16535chlor-1355-Item19-Cond-Item20-A_bht_Fill_0
60:35,T,35,39@0.22;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|903de1|3316-3496|642|05_cluster_AbalhimycinaFH1894-231-Item19-Cond-Item20-A_bht_Fill_0,14_cluster_Balhimycin|69cf6a|3316-3496|1855|14_cluster_Balhimycin-709-Item19-Cond-Item20-A_bht_Fill_0
57:'01',T,'01',35@0.45;'01',T,'01','28'@0.95:01_cluster_A40926|2105e4|3311-3490|76|01_cluster_A40926-23-Item23-Cond-Item24-A_bht|tyr_Fill_0,28_cluster_NcoxDSM45129|26d899|3312-3491|3746|28_cluster_NcoxDSM45129-1495-Item23-Cond-Item24-A_tyr_Fill_0
54:'01',T,'29','01'@0.22;'29',T,'29','04'@0.056:32,53
53:'29',T,'29','04'@0.056;'04',T,'04',19@0.33:39,52
52:'04',T,'04',19@0.33;19,S,'08','52'@1:42,51
51:19,S,'08','52'@1;'52',T,'52',6@1:52_cluster_WAC4182cluster089|6721ad|3238-3417|7007|52_cluster_WAC4182cluster089-2741-Item14-Cond-Item13-A_bht_Fill_0,50
50:'52',T,'52',6@1;6,S,'06',4@1:06_cluster_Ajap-Ristocetin|b7eff3|3239-3418|790|06_cluster_Ajap-Ristocetin-286-Item20-Cond-Item21-A_bht_Fill_0,49
49:6,S,'06',4@1;4,S,'53',2@1:53_cluster_WAC4197cluster073|a35ef6|3239-3418|7192|53_cluster_WAC4197cluster073-2789-Item19-Cond-Item20-A_bht_Fill_0,48
48:4,S,'53',2@1;2,S,'25','27'@1:25_cluster_JPLW01000007|f68926|3239-3418|3313|25_cluster_JPLW01000007-1283-Item20-Cond-Item21-A_bht_Fill_0,27_cluster_KF882511-Ristocetin|f68926|3239-3418|3617|27_cluster_KF882511-Ristocetin-1416-Item20-Cond-Item21-A_bht_Fill_0
42:19,S,'08','52'@1;'08',T,'08','55'@1:08_cluster_AlurRistocetin|b5adf0|3239-3418|1060|08_cluster_AlurRistocetin-429-Item14-Cond-Item13-A_bht|tyr_Fill_0,55_cluster_WAC05977|7779c3|3233-3412|7443|55_cluster_WAC05977-2904-Item19-Cond-Item20-A_bht_Fill_0
39:'04',T,'04',19@0.33;'04',T,'04',25@0.55:04_cluster_AazureaDSM43854|40c465|3343-3522|506|04_cluster_AazureaDSM43854-159-Item19-Cond-Item20-A_bht_Fill_0,38
38:'04',T,'04',25@0.55;25,S,'45',23@1:45_cluster_WAC1376cluster143|89a266|3259-3439|5912|45_cluster_WAC1376cluster143-2261-Item13-Cond-Item12-A_bht_Fill_0,37
37:25,S,'45',23@1;23,S,'44','46'@1:44_cluster_WAC1375|5eeb3d|3267-3450|5692|44_cluster_WAC1375-2129-Item19-Cond-Item20-A_bht|tyr_Fill_0,46_cluster_WAC1416cluster068|d6e140|3264-3447|6103|46_cluster_WAC1416cluster068-2306-Item19-Cond-Item20-A_bht_Fill_0
32:'29',T,'29','04'@0.056;'29',T,'29','47'@0.5:29_cluster_pekiskomycin|61ac15|3339-3518|3840|29_cluster_pekiskomycin-1529-Item19-Cond-Item20-A_bht_Fill_0,47_cluster_WAC1420|713508|3346-3525|6225|47_cluster_WAC1420-2418-Item19-Cond-Item20-A_bht_Fill_0
07_cluster_AkerFH1893nogabecin|5b689a|3304-3482|912|07_cluster_AkerFH1893nogabecin-340-Item20-Cond-Item21-A_bht_Fill_0:98,S,'71','01'@0.89;'71',TL,'71','07'@0.89
28:76,T,76,100@0.89;76,S,'57','59'@1:57_cluster_WAC06725|451761|3370-3548|7725|57_cluster_WAC06725-2978-Item24-Cond-Item25-A_tyr_Fill_0,59_cluster_WAC06783|42685d|3370-3548|7973|59_cluster_WAC06783-3059-Item24-Cond-Item25-A_tyr_Fill_0
25:73,S,'47',71@0.92;'47',TL,'47',53@0.23;53,T,'71',53@0.25:71_cluster_Kistamicin|8e9844|2839-3016|9806|71_cluster_Kistamicin-3712-Item18-Cond-Item19-A_tyr_Fill_0,24
24:53,T,'71',53@0.25;53,S,'61',51@1:61_cluster_FNTE|83000e|3326-3506|8199|61_cluster_FNTE-3137-Item22-Cond-Item23-A_tyr_Fill_0,23
23:53,S,'61',51@1;51,S,'43','54'@1:43_cluster_WAC01325|b6db0d|3324-3505|5574|43_cluster_WAC01325-2080-Item22-Cond-Item23-A_tyr_Fill_0,54_cluster_WAC05379-3|ba39af|3330-3510|7279|54_cluster_WAC05379-1-2851-Item11-Cond-Item12-A_tyr_Fill_0
18:77,S,76,73@0.92;76,T,76,55@0.46:6,17
17:76,T,76,55@0.46;55,T,55,'42'@0.51:13,16
16:55,T,55,'42'@0.51;'42',T,'42','71'@1:42_cluster_WAC00631|01badb|305-483|5488|42_cluster_WAC00631-2043-Item30-Cond-Item31-A_hpg_Fill_0,71_cluster_Kistamicin|c2bb94|303-469|9815|71_cluster_Kistamicin-3713-Item22-Cond-Item23-A_no_call_Fill_0
13:55,T,55,'42'@0.51;55,S,'70',53@1:70_cluster_TLI55.cluster001|412004|306-487|9684|70_cluster_TLI55.cluster001-3659-Item11-Cond-Item12-A_tyr_Fill_0,12
12:55,S,'70',53@1;53,S,'61',51@1:61_cluster_FNTE|ff42bb|305-482|8212|61_cluster_FNTE-3138-Item27-Cond-Item28-A_hpg|hpg2cl_Fill_0,11
11:53,S,'61',51@1;51,S,'43','54'@1:43_cluster_WAC01325|b58f24|305-482|5587|43_cluster_WAC01325-2081-Item27-Cond-Item28-A_hpg_Fill_0,54_cluster_WAC05379-3|c68161|305-482|7292|54_cluster_WAC05379-1-2852-Item16-Cond-Item17-A_hpg|hpg2cl_Fill_0
6:76,T,76,55@0.46;76,D,76,76@1:2,5
5:76,D,76,76@1;76,S,'57','59'@1:57_cluster_WAC06725|09ed46|1893-2070|7686|57_cluster_WAC06725-2976-Item5-Cond-Item6-A_d-trp_Fill_0,59_cluster_WAC06783|64e4a6|1877-2054|7933|59_cluster_WAC06783-3057-Item5-Cond-Item6-A_trp_Fill_0
2:76,D,76,76@1;76,S,'57','59'@1:57_cluster_WAC06725|689653|305-483|7740|57_cluster_WAC06725-2979-Item30-Cond-Item31-A_hpg|hpg2cl_Fill_0,59_cluster_WAC06783|725a6d|305-483|7988|59_cluster_WAC06783-3060-Item30-Cond-Item31-A_hpg_Fill_0
